DomainProblem,Plan
"<GOAL>[a](opened)<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, open_a"
"<GOAL>[a](tail)<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, open_a, peek_a"
"<GOAL>[b][a](tail)<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, open_a, peek_a, signal_a_b, announce_room_box_a"
"<GOAL>[b](tail)<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, signal_a_b, open_a, peek_b"
"<GOAL>[c](tail)<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_c, signal_a_c, open_a, peek_c"
"<GOAL>[c](tail), [b] (tail), not([a](tail)), not([a](-tail))<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, move_to_box_c, signal_a_b, signal_a_c, open_a, peek_b, peek_c"
"<GOAL>[c](tail), [b] (opened), [b] (tail), not([a](tail)), not([a](-tail))<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, move_to_box_c, signal_a_b, signal_a_c, open_a, peek_b, peek_c"
"<GOAL>[c](tail), [b] (-opened), [b] (tail), not([a](tail)), not([a](-tail))<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_c, signal_a_b, signal_a_c, open_a, peek_c, move_to_empty_c, announce_room_empty_c"
"<GOAL>[c](tail), [b] (opened), not([a](tail)), not([a](-tail)), not([b](tail)), not([b](-tail))<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, move_to_box_c, signal_a_b, signal_a_c, open_a, peek_c"
"<GOAL>[c](tail), [b] (opened), [a](tail), not([b](tail)), not([b](-tail))<INIT>in_room_empty a, in_room_empty b, in_room_empty c, tail, has_key a, looking a, [a b c](has_key a), [a b c](not (has_key b)), [a b c](not (has_key c)), [a b c](not (opened)), [a b c](looking a), [a b c](not (looking b)), [a b c](not (looking c)), [a b c](in_room_empty a), [a b c](in_room_empty b), [a b c](in_room_empty c), [a b c](not (in_room_box a)), [a b c](not (in_room_box b)), [a b c](not (in_room_box c))<ACTION> move_to_box <ACT_TYPE> ontic <PRE> [?ag](in_room_empty ?ag), in_room_empty ?ag <EFFECT> in_room_box ?ag, -in_room_empty ?ag <ACTION> move_to_empty <ACT_TYPE> ontic <PRE> [?ag](in_room_box ?ag), in_room_box ?ag <EFFECT> in_room_empty ?ag, -in_room_box ?ag <ACTION> open <ACT_TYPE> ontic <PRE> [?ag](has_key ?ag), has_key ?ag, in_room_box ?ag <EFFECT> opened <ACTION> signal <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](not (looking ?ag2)) <EFFECT> looking ?ag2 <ACTION> peek <ACT_TYPE> sensing <PRE> [?ag](opened), [?ag](looking ?ag), looking ?ag, opened, in_room_box ?ag <EFFECT> tail <ACTION> distract <ACT_TYPE> ontic <PRE> [?ag1](looking ?ag1), [?ag2](looking ?ag2) <EFFECT> not (looking ?ag2) <ACTION> announce_room_box <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_box ?ag <EFFECT> tail <ACTION> announce_room_empty <ACT_TYPE> announcement <PRE> [?ag](tail), tail, in_room_empty ?ag <EFFECT> tail","move_to_box_a, move_to_box_b, move_to_box_c, signal_a_b, signal_a_c, open_a, peek_a, peek_c"
