Name,Time-SOFAI-PF-FDxLPG,Corr-SOFAI-PF-FDxLPG,Opt-SOFAI-PF-FDxLPG,Sys-SOFAI-PF-FDxLPG,Planner-SOFAI-PF-FDxLPG
BW-rand-10__0,59317.665576934814,0.0,-1.0,-1,-1
BW-rand-10__1,32691.24555587769,1.0,0.0,2,1
BW-rand-10__10,17336.599349975586,1.0,0.0,2,1
BW-rand-10__11,59325.70934295654,0.0,-1.0,-1,-1
BW-rand-10__12,59309.35263633728,0.0,-1.0,-1,-1
BW-rand-10__13,59596.19402885437,0.0,-1.0,-1,-1
BW-rand-10__14,59213.75203132629,0.0,-1.0,-1,-1
BW-rand-10__15,19211.459398269653,1.0,0.0,2,1
BW-rand-10__16,59413.46526145935,0.0,-1.0,-1,-1
BW-rand-10__17,59278.03063392639,0.0,-1.0,-1,-1
BW-rand-10__18,59505.29408454895,0.0,-1.0,-1,-1
BW-rand-10__19,10364.117860794067,1.0,0.0,2,1
BW-rand-10__2,8813.721895217896,1.0,0.0,2,1
BW-rand-10__20,17301.901817321777,1.0,0.0,2,1
BW-rand-10__21,12121.844291687012,1.0,0.0,2,1
BW-rand-10__22,59492.4054145813,0.0,-1.0,-1,-1
BW-rand-10__23,59157.95588493347,0.0,-1.0,-1,-1
BW-rand-10__24,59264.44411277771,0.0,-1.0,-1,-1
BW-rand-10__25,43295.57251930237,1.0,0.0,2,1
BW-rand-10__26,32900.261878967285,1.0,0.0,2,1
BW-rand-10__27,35005.2170753479,1.0,0.0,2,1
BW-rand-10__28,59325.29091835022,0.0,-1.0,-1,-1
BW-rand-10__29,53965.29269218445,1.0,0.0,2,1
BW-rand-10__3,59578.81879806519,0.0,-1.0,-1,-1
BW-rand-10__30,8686.568021774292,1.0,0.0,2,1
BW-rand-10__31,59394.90509033203,0.0,-1.0,-1,-1
BW-rand-10__32,36342.94652938843,1.0,0.0,2,1
BW-rand-10__33,59111.54127120972,0.0,-1.0,-1,-1
BW-rand-10__34,5301.053047180176,1.0,0.0,2,1
BW-rand-10__35,5457.360744476318,1.0,0.0,2,1
BW-rand-10__36,45486.61804199219,1.0,0.0,2,1
BW-rand-10__37,27687.957763671875,1.0,0.0,2,1
BW-rand-10__38,59772.59016036987,0.0,-1.0,-1,-1
BW-rand-10__39,41570.28555870056,1.0,0.0,2,1
BW-rand-10__4,35606.449604034424,1.0,0.0,2,1
BW-rand-10__40,11559.771537780762,1.0,0.0,2,1
BW-rand-10__41,59168.78795623779,0.0,-1.0,-1,-1
BW-rand-10__42,6297.139406204224,1.0,0.0,2,1
