Name,Time-SOFAI-PF-LPGxLPG,Corr-SOFAI-PF-LPGxLPG,Opt-SOFAI-PF-LPGxLPG,Sys-SOFAI-PF-LPGxLPG,Planner-SOFAI-PF-LPGxLPG
BW-rand-10__0,2552.4110794067383,1.0,0.0,2,2
BW-rand-10__1,2218.4739112854004,1.0,41.66666666666667,2,2
BW-rand-10__10,2209.689855575561,1.0,0.0,2,2
BW-rand-10__11,2348.8357067108154,1.0,0.0,2,2
BW-rand-10__12,2194.143295288086,1.0,16.666666666666664,2,2
BW-rand-10__13,2768.0699825286865,1.0,33.33333333333333,2,2
BW-rand-10__14,2533.179521560669,1.0,0.0,2,2
BW-rand-10__15,2247.4794387817383,1.0,70.0,2,2
BW-rand-10__16,2562.4425411224365,1.0,21.428571428571427,2,2
BW-rand-10__17,2599.4696617126465,1.0,0.0,2,2
BW-rand-10__18,2647.563695907593,1.0,0.0,2,2
BW-rand-10__19,2233.5569858551025,1.0,33.33333333333333,2,2
BW-rand-10__2,2399.3804454803467,1.0,0.0,2,2
BW-rand-10__20,2217.362403869629,1.0,18.181818181818183,2,2
BW-rand-10__21,2890.1405334472656,1.0,0.0,2,2
BW-rand-10__22,2403.506278991699,1.0,31.25,2,2
BW-rand-10__23,2200.564384460449,1.0,57.14285714285714,2,2
BW-rand-10__24,2320.2967643737798,1.0,33.33333333333333,2,2
BW-rand-10__25,2358.8242530822754,1.0,0.0,2,2
BW-rand-10__26,2289.802312850952,1.0,0.0,2,2
BW-rand-10__27,2482.0876121521,1.0,0.0,2,2
BW-rand-10__28,2604.8240661621094,1.0,0.0,2,2
BW-rand-10__29,2454.747676849365,1.0,50.0,2,2
BW-rand-10__3,2693.302869796753,1.0,7.6923076923076925,2,2
BW-rand-10__30,2767.8046226501465,1.0,55.55555555555556,2,2
BW-rand-10__31,2919.7146892547607,1.0,0.0,2,2
BW-rand-10__32,2407.109498977661,1.0,0.0,2,2
BW-rand-10__33,2154.1519165039062,1.0,7.142857142857142,2,2
BW-rand-10__34,2042.261838912964,1.0,22.22222222222222,2,2
BW-rand-10__35,2419.849157333374,1.0,0.0,2,2
BW-rand-10__36,2167.5140857696533,1.0,91.66666666666666,2,2
BW-rand-10__37,2073.974847793579,1.0,18.181818181818183,2,2
BW-rand-10__38,3037.522792816162,1.0,0.0,2,2
BW-rand-10__39,2309.6401691436768,1.0,100.0,2,2
BW-rand-10__4,2263.2460594177246,1.0,20.0,2,2
BW-rand-10__40,2350.872278213501,1.0,0.0,2,2
BW-rand-10__41,2078.5374641418457,1.0,0.0,2,2
BW-rand-10__42,2722.206354141236,1.0,45.45454545454545,2,2
BW-rand-10__43,2274.085521697998,1.0,21.428571428571427,2,2
BW-rand-10__44,2305.795431137085,1.0,7.142857142857142,2,2
BW-rand-10__45,2999.2942810058594,1.0,0.0,2,2
BW-rand-10__46,3053.0073642730717,1.0,0.0,2,2
BW-rand-10__47,2533.0822467803955,1.0,0.0,2,2
BW-rand-10__48,2472.886085510254,1.0,6.666666666666667,2,2
BW-rand-10__49,2314.4214153289795,1.0,0.0,2,2
BW-rand-10__5,2297.5733280181885,1.0,45.45454545454545,2,2
BW-rand-10__50,2552.3626804351807,1.0,0.0,2,2
BW-rand-10__51,2512.012720108032,1.0,0.0,2,2
BW-rand-10__52,2049.372911453247,1.0,37.5,2,2
BW-rand-10__53,2344.312906265259,1.0,7.6923076923076925,2,2
BW-rand-10__54,2556.104183197021,1.0,0.0,2,2
BW-rand-10__55,2769.3240642547607,1.0,26.666666666666668,2,2
BW-rand-10__56,2245.959520339966,1.0,14.285714285714285,2,2
BW-rand-10__57,2154.2489528656006,1.0,37.5,2,2
BW-rand-10__58,2739.6275997161865,1.0,30.0,2,2
BW-rand-10__59,2685.5945587158203,1.0,0.0,2,2
BW-rand-10__6,2366.321563720703,1.0,16.666666666666664,2,2
BW-rand-10__60,3006.3235759735107,1.0,0.0,2,2
BW-rand-10__61,2237.351417541504,1.0,10.0,2,2
BW-rand-10__62,2578.786611557007,1.0,0.0,2,2
BW-rand-10__63,2703.6843299865723,1.0,6.666666666666667,2,2
BW-rand-10__64,2731.757879257202,1.0,0.0,2,2
BW-rand-10__65,2211.491584777832,1.0,44.44444444444444,2,2
BW-rand-10__66,2460.198402404785,1.0,23.07692307692308,2,2
BW-rand-10__67,2308.0949783325195,1.0,42.85714285714285,2,2
BW-rand-10__68,2669.508934020996,1.0,0.0,2,2
BW-rand-10__69,2033.4272384643557,1.0,30.76923076923077,2,2
BW-rand-10__7,2200.1686096191406,1.0,42.85714285714285,2,2
BW-rand-10__70,2210.6716632843018,1.0,15.384615384615383,2,2
BW-rand-10__71,2898.0648517608643,1.0,0.0,2,2
BW-rand-10__72,2346.315622329712,1.0,0.0,2,2
BW-rand-10__73,2177.8318881988525,1.0,27.27272727272727,2,2
BW-rand-10__74,2721.801996231079,1.0,0.0,2,2
BW-rand-10__75,2931.6320419311523,1.0,0.0,2,2
BW-rand-10__76,2454.365491867065,1.0,0.0,2,2
BW-rand-10__77,2394.1028118133545,1.0,0.0,2,2
BW-rand-10__78,4655.40075302124,1.0,0.0,2,2
BW-rand-10__8,2356.848955154419,1.0,0.0,2,2
BW-rand-10__9,2399.0697860717773,1.0,0.0,2,2
BW-rand-11__0,2206.149101257324,1.0,7.6923076923076925,2,2
BW-rand-11__1,2446.215867996216,1.0,0.0,2,2
BW-rand-11__10,2217.559099197388,1.0,30.76923076923077,2,2
BW-rand-11__11,2207.3655128479004,1.0,50.0,2,2
BW-rand-11__12,2171.4346408843994,1.0,0.0,2,2
BW-rand-11__13,2761.4214420318604,1.0,21.428571428571427,2,2
BW-rand-11__14,2065.2637481689453,1.0,27.27272727272727,2,2
BW-rand-11__15,2586.414098739624,1.0,0.0,2,2
BW-rand-11__16,2219.045639038086,1.0,9.090909090909092,2,2
BW-rand-11__17,2149.0912437438965,1.0,11.11111111111111,2,2
BW-rand-11__18,2527.857542037964,1.0,11.11111111111111,2,2
BW-rand-11__19,2788.963556289673,1.0,18.181818181818183,2,2
BW-rand-11__2,3057.714462280273,1.0,0.0,2,2
BW-rand-11__20,2544.9721813201904,1.0,0.0,2,2
BW-rand-11__3,2418.387651443481,1.0,0.0,2,2
BW-rand-11__4,2161.294460296631,1.0,30.0,2,2
BW-rand-11__5,2198.666572570801,1.0,41.66666666666667,2,2
BW-rand-11__6,2492.815971374512,1.0,10.0,2,2
BW-rand-11__7,2052.821159362793,1.0,0.0,2,2
BW-rand-11__8,2389.370441436768,1.0,0.0,2,2
BW-rand-11__9,2310.658693313598,1.0,58.333333333333336,2,2
ferry-l4-c3__0,2007.2641372680664,1.0,0.0,1,
ferry-l4-c3__1,1956.7644596099851,1.0,0.0,1,
ferry-l4-c3__2,1911.6575717926023,1.0,0.0,1,
ferry-l4-c3__3,1952.5671005249023,1.0,0.0,1,
ferry-l4-c3__4,1886.627435684204,1.0,0.0,1,
ferry-l4-c3__5,1864.091396331787,1.0,0.0,1,
ferry-l4-c3__6,1894.0000534057615,1.0,0.0,1,
ferry-l4-c3__7,1796.7731952667236,1.0,0.0,1,
ferry-l4-c3__8,1859.452724456787,1.0,0.0,1,
ferry-l4-c3__9,1856.2963008880613,1.0,0.0,1,
ferry-l4-c4__0,1956.2008380889893,1.0,0.0,1,
ferry-l4-c4__1,1974.6029376983645,1.0,0.0,1,
ferry-l4-c4__2,1808.7663650512693,1.0,0.0,1,
ferry-l4-c4__3,1882.3976516723635,1.0,0.0,1,
ferry-l4-c4__4,1960.6642723083496,1.0,0.0,1,
ferry-l4-c4__5,2019.55246925354,1.0,0.0,1,
ferry-l4-c4__6,1867.5076961517332,1.0,0.0,1,
ferry-l4-c4__7,1972.8341102600095,1.0,0.0,1,
ferry-l4-c4__8,1885.9367370605469,1.0,0.0,1,
ferry-l4-c5__0,2105.076551437378,1.0,0.0,1,
ferry-l4-c5__1,2101.193189620972,1.0,0.0,1,
ferry-l4-c5__2,2136.284112930298,1.0,0.0,1,
ferry-l4-c5__3,2056.451797485352,1.0,0.0,1,
ferry-l4-c5__4,2103.285312652588,1.0,0.0,1,
ferry-l4-c5__5,1994.2984580993648,1.0,0.0,1,
ferry-l4-c5__6,2035.4554653167725,1.0,0.0,1,
ferry-l4-c5__7,2154.766798019409,1.0,0.0,1,
ferry-l4-c6__0,2026.308298110962,1.0,0.0,1,
ferry-l4-c6__1,2088.202476501465,1.0,0.0,1,
ferry-l4-c6__2,2059.6609115600586,1.0,0.0,1,
ferry-l4-c6__3,1932.7492713928225,1.0,0.0,1,
ferry-l4-c6__4,2136.040449142456,1.0,0.0,1,
ferry-l4-c6__5,2192.984104156494,1.0,0.0,1,
ferry-l4-c6__6,2052.0496368408203,1.0,0.0,1,
ferry-l4-c6__7,2124.3672370910645,1.0,0.0,1,
ferry-l4-c6__8,2108.8409423828125,1.0,0.0,1,
ferry-l4-c6__9,2186.19441986084,1.0,0.0,1,
ferry-l5-c3__0,1818.254232406616,1.0,0.0,1,
ferry-l5-c3__1,1878.929853439331,1.0,0.0,1,
ferry-l5-c3__2,1979.5067310333247,1.0,0.0,1,
ferry-l5-c3__3,1951.207160949707,1.0,0.0,1,
ferry-l5-c3__4,1987.6668453216555,1.0,0.0,1,
ferry-l5-c4__0,1988.426923751831,1.0,0.0,2,3
ferry-l5-c4__1,1963.442325592041,1.0,0.0,1,
ferry-l5-c4__2,2046.830415725708,1.0,0.0,1,
ferry-l5-c4__3,2045.6874370574951,1.0,0.0,1,
ferry-l5-c4__4,1917.9086685180664,1.0,0.0,1,
ferry-l5-c4__5,2058.4065914154053,1.0,0.0,1,
ferry-l5-c4__6,1984.0757846832275,1.0,0.0,1,
ferry-l5-c4__7,2069.790840148926,1.0,0.0,1,
ferry-l5-c5__0,2013.391733169556,1.0,0.0,1,
ferry-l5-c5__1,2106.902837753296,1.0,6.666666666666667,1,
ferry-l5-c5__2,2042.7923202514648,1.0,7.6923076923076925,1,
ferry-l5-c5__3,1795.3851222991943,1.0,0.0,1,
ferry-l5-c5__4,2187.0205402374268,1.0,0.0,1,
ferry-l5-c6__0,2237.3852729797363,1.0,0.0,1,
ferry-l5-c6__1,2100.010871887207,1.0,0.0,1,
ferry-l5-c6__2,2273.4575271606445,1.0,0.0,1,
ferry-l5-c6__3,2081.1240673065186,1.0,0.0,1,
ferry-l5-c6__4,2269.262790679932,1.0,5.263157894736842,1,
ferry-l5-c6__5,2248.7566471099854,1.0,0.0,1,
ferry-l5-c6__6,2119.568109512329,1.0,0.0,1,
ferry-l5-c6__7,2031.0797691345213,1.0,0.0,1,
ferry-l5-c6__8,2186.072826385498,1.0,0.0,1,
ferry-l6-c3__0,1953.502178192139,1.0,0.0,1,
ferry-l6-c3__1,1989.8231029510496,1.0,0.0,1,
ferry-l6-c3__2,1883.1584453582764,1.0,0.0,1,
ferry-l6-c3__3,1977.0622253417969,1.0,0.0,1,
ferry-l6-c3__4,1797.663688659668,1.0,0.0,1,
ferry-l6-c3__5,1979.494571685791,1.0,0.0,1,
ferry-l6-c3__6,1964.7531509399412,1.0,0.0,1,
ferry-l6-c3__7,2015.7856941223145,1.0,0.0,1,
ferry-l6-c4__0,2052.12926864624,1.0,0.0,1,
ferry-l6-c4__1,1979.8262119293213,1.0,0.0,1,
ferry-l6-c4__10,1976.162672042847,1.0,0.0,1,
ferry-l6-c4__2,1984.7981929779053,1.0,0.0,1,
ferry-l6-c4__3,2012.1941566467283,1.0,0.0,1,
ferry-l6-c4__4,2081.423044204712,1.0,0.0,1,
ferry-l6-c4__5,1950.8562088012693,1.0,0.0,1,
ferry-l6-c4__6,1907.8385829925537,1.0,0.0,1,
ferry-l6-c4__7,2094.6218967437744,1.0,0.0,1,
ferry-l6-c4__8,2029.376983642578,1.0,0.0,1,
ferry-l6-c4__9,2079.8778533935547,1.0,0.0,1,
ferry-l6-c5__0,2082.8256607055664,1.0,0.0,1,
ferry-l6-c5__1,2146.361351013184,1.0,0.0,1,
ferry-l6-c5__2,2078.2718658447266,1.0,0.0,1,
ferry-l6-c5__3,2051.6395568847656,1.0,0.0,1,
ferry-l6-c5__4,2213.5488986968994,1.0,0.0,1,
ferry-l6-c5__5,1912.283182144165,1.0,0.0,1,
ferry-l6-c5__6,2104.133367538452,1.0,0.0,1,
ferry-l6-c5__7,2138.833522796631,1.0,0.0,1,
ferry-l6-c5__8,2122.323513031006,1.0,6.666666666666667,1,
ferry-l6-c6__0,2270.6758975982666,1.0,0.0,1,
ferry-l6-c6__1,2064.3906593322754,1.0,0.0,1,
ferry-l6-c6__2,2143.951177597046,1.0,0.0,1,
ferry-l6-c6__3,2100.597858428955,1.0,0.0,1,
ferry-l6-c6__4,2078.3464908599854,1.0,0.0,1,
ferry-l6-c6__5,2190.59419631958,1.0,0.0,1,
ferry-l6-c6__6,2146.6846466064453,1.0,0.0,1,
ferry-l6-c6__7,2197.4451541900635,1.0,0.0,1,
gripperproblem_3_2_2_102__0,1954.9520015716555,1.0,0.0,1,
gripperproblem_3_2_2_11__0,2063.309907913208,1.0,0.0,1,
gripperproblem_3_2_2_18__0,1929.868221282959,1.0,0.0,1,
gripperproblem_3_2_2_44__0,1822.2568035125728,1.0,0.0,1,
gripperproblem_3_2_2_46__0,1814.8982524871824,1.0,0.0,1,
gripperproblem_3_2_2_54__0,1972.2120761871336,1.0,0.0,1,
gripperproblem_3_2_2_95__0,2044.468641281128,1.0,0.0,1,
gripperproblem_3_2_3_122__0,1952.5668621063232,1.0,0.0,1,
gripperproblem_3_2_3_125__0,1842.7557945251465,1.0,0.0,1,
gripperproblem_3_2_3_126__0,1941.9198036193848,1.0,0.0,1,
gripperproblem_3_2_3_31__0,1932.4913024902344,1.0,0.0,1,
gripperproblem_3_2_3_89__0,1855.2818298339844,1.0,0.0,1,
gripperproblem_3_2_4_123__0,1858.846664428711,1.0,0.0,1,
gripperproblem_3_2_4_131__0,1935.2853298187256,1.0,0.0,1,
gripperproblem_3_2_4_134__0,2081.6729068756104,1.0,0.0,1,
gripperproblem_3_2_4_140__0,1942.0573711395264,1.0,0.0,1,
gripperproblem_3_2_4_142__0,2088.384866714477,1.0,0.0,1,
gripperproblem_3_2_4_15__0,2103.4114360809326,1.0,0.0,1,
gripperproblem_3_2_4_40__0,1976.632595062256,1.0,0.0,1,
gripperproblem_3_2_4_61__0,2054.0452003479004,1.0,0.0,1,
gripperproblem_3_2_4_74__0,1968.7974452972408,1.0,0.0,1,
gripperproblem_3_2_4_83__0,2090.5025005340576,1.0,0.0,1,
gripperproblem_3_2_5_107__0,2095.592737197876,1.0,0.0,1,
gripperproblem_3_2_5_110__0,1866.0681247711184,1.0,0.0,1,
gripperproblem_3_2_5_149__0,2101.5713214874268,1.0,0.0,1,
gripperproblem_3_2_5_25__0,2076.802968978882,1.0,0.0,1,
gripperproblem_3_2_5_27__0,1926.1715412139893,1.0,0.0,1,
gripperproblem_3_2_5_64__0,2098.3831882476807,1.0,0.0,1,
gripperproblem_3_3_2_10__0,1905.9641361236568,1.0,0.0,1,
