Name,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Opt-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD
BW-rand-10__0,59275.60615539551,0.0,-1.0,-1,-1
BW-rand-10__1,32616.433143615723,1.0,0.0,2,1
BW-rand-10__10,17370.973825454712,1.0,0.0,2,1
BW-rand-10__11,59071.78258895874,0.0,-1.0,-1,-1
BW-rand-10__12,59254.7345161438,0.0,-1.0,-1,-1
BW-rand-10__13,59511.33728027344,0.0,-1.0,-1,-1
BW-rand-10__14,59266.85094833374,0.0,-1.0,-1,-1
BW-rand-10__15,19336.93099021912,1.0,0.0,2,1
BW-rand-10__16,59183.120250701904,0.0,-1.0,-1,-1
BW-rand-10__17,59275.91419219971,0.0,-1.0,-1,-1
BW-rand-10__18,59755.825996398926,0.0,-1.0,-1,-1
BW-rand-10__19,10254.599332809448,1.0,0.0,2,1
BW-rand-10__2,8794.348239898682,1.0,0.0,2,1
BW-rand-10__20,17302.488565444946,1.0,0.0,2,1
BW-rand-10__21,12040.936946868896,1.0,0.0,2,1
BW-rand-10__22,59352.648973464966,0.0,-1.0,-1,-1
BW-rand-10__23,59138.79752159119,0.0,-1.0,-1,-1
BW-rand-10__24,59289.41202163696,0.0,-1.0,-1,-1
BW-rand-10__25,43456.30168914795,1.0,0.0,2,1
BW-rand-10__26,32914.719343185425,1.0,0.0,2,1
BW-rand-10__27,34948.27103614807,1.0,0.0,2,1
BW-rand-10__28,59318.023443222046,0.0,-1.0,-1,-1
BW-rand-10__29,54084.17630195618,1.0,0.0,2,1
BW-rand-10__3,59132.55763053894,0.0,-1.0,-1,-1
BW-rand-10__30,8450.771808624268,1.0,0.0,2,1
BW-rand-10__31,59396.67296409607,0.0,-1.0,-1,-1
BW-rand-10__32,36443.30048561096,1.0,0.0,2,1
BW-rand-10__33,59220.324754714966,0.0,-1.0,-1,-1
BW-rand-10__34,5290.5213832855225,1.0,0.0,2,1
BW-rand-10__35,5442.324876785278,1.0,0.0,2,1
BW-rand-10__36,45414.79301452637,1.0,0.0,2,1
BW-rand-10__37,27637.734174728397,1.0,0.0,2,1
BW-rand-10__38,59770.10035514832,0.0,-1.0,-1,-1
BW-rand-10__39,41575.644969940186,1.0,0.0,2,1
BW-rand-10__4,35613.74092102051,1.0,0.0,2,1
BW-rand-10__40,11532.79948234558,1.0,0.0,2,1
BW-rand-10__41,59178.53856086731,0.0,-1.0,-1,-1
BW-rand-10__42,6813.760042190552,1.0,0.0,2,1
