Name,Time-SOFAI-PF-LPG,Corr-SOFAI-PF-LPG,Opt-SOFAI-PF-LPG,Sys-SOFAI-PF-LPG,Planner-SOFAI-PF-LPG
BW-rand-10__0,2665.694236755371,1.0,0.0,2,2
BW-rand-10__1,2607.35821723938,1.0,0.0,2,2
BW-rand-10__10,2150.319576263428,1.0,33.33333333333333,2,2
BW-rand-10__11,2371.760606765747,1.0,25.0,2,2
BW-rand-10__12,2538.1126403808594,1.0,0.0,2,2
BW-rand-10__13,2780.930757522583,1.0,16.666666666666664,2,2
BW-rand-10__14,2328.065633773804,1.0,18.75,2,2
BW-rand-10__15,2264.094829559326,1.0,70.0,2,2
BW-rand-10__16,2350.965976715088,1.0,21.428571428571427,2,2
BW-rand-10__17,2303.163290023804,1.0,53.84615384615385,2,2
BW-rand-10__18,2798.7897396087646,1.0,0.0,2,2
BW-rand-10__19,2091.5844440460205,1.0,22.22222222222222,2,2
BW-rand-10__2,2191.90001487732,1.0,12.5,2,2
BW-rand-10__20,2216.08829498291,1.0,18.181818181818183,2,2
BW-rand-10__21,2154.895782470703,1.0,0.0,2,2
BW-rand-10__22,2413.938522338867,1.0,25.0,2,2
BW-rand-10__23,2700.878858566284,1.0,0.0,2,2
BW-rand-10__24,2332.6308727264404,1.0,16.666666666666664,2,2
BW-rand-10__25,2197.575330734253,1.0,36.36363636363637,2,2
BW-rand-10__26,2072.205781936645,1.0,20.0,2,2
BW-rand-10__27,2267.705202102661,1.0,25.0,2,2
BW-rand-10__28,2453.3088207244878,1.0,38.46153846153847,2,2
BW-rand-10__29,3023.1704711914062,1.0,0.0,2,2
BW-rand-10__3,2187.821626663208,1.0,15.384615384615383,2,2
BW-rand-10__30,2789.541244506836,1.0,66.66666666666666,2,2
BW-rand-10__31,2445.077896118164,1.0,78.57142857142857,2,2
BW-rand-10__32,2162.8963947296143,1.0,21.428571428571427,2,2
BW-rand-10__33,2168.4632301330566,1.0,14.285714285714285,2,2
BW-rand-10__34,2136.804580688477,1.0,0.0,2,2
BW-rand-10__35,2157.576084136963,1.0,100.0,2,2
BW-rand-10__36,2349.541187286377,1.0,0.0,2,2
BW-rand-10__37,2086.4808559417725,1.0,9.090909090909092,2,2
BW-rand-10__38,2839.139461517334,1.0,53.333333333333336,2,2
BW-rand-10__39,2994.0624237060547,1.0,0.0,2,2
BW-rand-10__4,2328.57346534729,1.0,0.0,2,2
BW-rand-10__40,2352.0407676696777,1.0,0.0,2,2
BW-rand-10__41,2438.0650520324707,1.0,0.0,2,2
BW-rand-10__42,2708.695411682129,1.0,9.090909090909092,2,2
BW-rand-10__43,2522.2113132476807,1.0,0.0,2,2
BW-rand-10__44,2423.372507095337,1.0,0.0,2,2
BW-rand-10__45,2763.962745666504,1.0,15.384615384615383,2,2
BW-rand-10__46,2906.470775604248,1.0,0.0,2,2
BW-rand-10__47,2317.781925201416,1.0,28.57142857142857,2,2
BW-rand-10__48,2210.176944732666,1.0,40.0,2,2
BW-rand-10__49,2309.3416690826416,1.0,0.0,2,2
BW-rand-10__5,2542.31071472168,1.0,0.0,2,2
BW-rand-10__50,2578.288555145264,1.0,0.0,2,2
BW-rand-10__51,2497.255802154541,1.0,0.0,2,2
BW-rand-10__52,2096.571445465088,1.0,25.0,2,2
BW-rand-10__53,2589.559555053711,1.0,0.0,2,2
BW-rand-10__54,2304.6226501464844,1.0,16.666666666666664,2,2
BW-rand-10__55,2650.92396736145,1.0,0.0,2,2
BW-rand-10__56,2436.35368347168,1.0,0.0,2,2
BW-rand-10__57,2614.790201187134,1.0,0.0,2,2
BW-rand-10__58,2753.408193588257,1.0,20.0,2,2
BW-rand-10__59,2477.7374267578125,1.0,36.36363636363637,2,2
BW-rand-10__6,2199.0115642547607,1.0,41.66666666666667,2,2
BW-rand-10__60,2781.1546325683594,1.0,50.0,2,2
BW-rand-10__61,2214.736223220825,1.0,10.0,2,2
BW-rand-10__62,2734.631299972534,1.0,0.0,2,2
BW-rand-10__63,2959.878921508789,1.0,0.0,2,2
BW-rand-10__64,2661.792278289795,1.0,0.0,2,2
BW-rand-10__65,2220.7181453704834,1.0,55.55555555555556,2,2
BW-rand-10__66,2754.730463027954,1.0,0.0,2,2
BW-rand-10__67,2355.223655700684,1.0,7.142857142857142,2,2
BW-rand-10__68,2721.598625183105,1.0,0.0,2,2
BW-rand-10__69,2002.748966217041,1.0,30.76923076923077,2,2
BW-rand-10__7,2507.800817489624,1.0,0.0,2,2
BW-rand-10__70,2574.0795135498047,1.0,0.0,2,2
BW-rand-10__71,2700.1099586486816,1.0,0.0,2,2
BW-rand-10__72,2101.4204025268555,1.0,18.181818181818183,2,2
BW-rand-10__73,2182.1553707122803,1.0,72.72727272727273,2,2
BW-rand-10__74,2551.011562347412,1.0,0.0,2,2
BW-rand-10__75,2740.57412147522,1.0,46.15384615384615,2,2
BW-rand-10__76,2224.585771560669,1.0,27.27272727272727,2,2
BW-rand-10__77,2128.7150382995605,1.0,61.53846153846154,2,2
BW-rand-10__78,2914.377212524414,1.0,0.0,2,2
BW-rand-10__8,2352.169275283813,1.0,0.0,2,2
BW-rand-10__9,2436.346530914306,1.0,0.0,2,2
BW-rand-11__0,2515.7628059387207,1.0,0.0,2,2
BW-rand-11__1,2299.445867538452,1.0,10.0,2,2
BW-rand-11__10,2205.0158977508545,1.0,38.46153846153847,2,2
BW-rand-11__11,2481.274366378784,1.0,0.0,2,2
BW-rand-11__12,2154.1318893432617,1.0,0.0,2,2
BW-rand-11__13,2778.064012527466,1.0,28.57142857142857,2,2
BW-rand-11__14,2078.8590908050537,1.0,36.36363636363637,2,2
BW-rand-11__15,2591.566324234009,1.0,0.0,2,2
BW-rand-11__16,2219.9246883392334,1.0,27.27272727272727,2,2
BW-rand-11__17,2411.564350128174,1.0,0.0,2,2
BW-rand-11__18,2744.9100017547607,1.0,11.11111111111111,2,2
BW-rand-11__19,2622.469186782837,1.0,45.45454545454545,2,2
BW-rand-11__2,3025.416851043701,1.0,0.0,2,2
BW-rand-11__20,2448.893785476685,1.0,0.0,2,2
BW-rand-11__3,2201.6677856445312,1.0,75.0,2,2
BW-rand-11__4,2183.7635040283203,1.0,0.0,2,2
BW-rand-11__5,2430.683374404907,1.0,0.0,2,2
BW-rand-11__6,2428.2119274139404,1.0,10.0,2,2
BW-rand-11__7,2106.8100929260254,1.0,50.0,2,2
BW-rand-11__8,2169.0688133239746,1.0,45.45454545454545,2,2
BW-rand-11__9,2586.7810249328613,1.0,16.666666666666664,2,2
ferry-l4-c3__0,1957.9427242279053,1.0,0.0,1,
ferry-l4-c3__1,1958.4710597991943,1.0,0.0,1,
ferry-l4-c3__2,1959.1288566589355,1.0,0.0,1,
ferry-l4-c3__3,1951.651096343994,1.0,0.0,1,
ferry-l4-c3__4,1866.6892051696775,1.0,0.0,1,
ferry-l4-c3__5,1891.5274143218996,1.0,0.0,1,
ferry-l4-c3__6,1903.411626815796,1.0,0.0,1,
ferry-l4-c3__7,1805.6879043579104,1.0,0.0,1,
ferry-l4-c3__8,1861.7541790008545,1.0,0.0,1,
