Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__11,2156.750917,1,2,1,,,,,5684.336662,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__13,2188.016653,1,2,1,,,,,5262.482643,1,1,
ferry-l6-c6__98,2210.288763,1,2,1,,,,,5339.941978,1,1,
ferry-l6-c6__57,2210.731983,1,2,1,5416.75663,1,1,,5045.916557,1,1,
zBW_problem_6_183__0,2219.287872,1,2,1,6089.422941,1,2,1,5413.931847,0,-1,-1
ferry-l6-c6__41,2223.795414,1,2,1,5269.305229,1,1,,5557.210684,1,1,
ferry-l6-c6__97,2229.059219,1,2,1,,,,,5770.850658,1,1,
ferry-l6-c6__47,2231.409788,1,2,1,5580.128193,1,1,,5268.025398,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__51,2240.456343,1,2,1,,,,,5372.052431,1,1,
zBW_problem_6_194__0,2242.216349,1,2,1,5988.761663,1,2,1,5391.794443,1,2,3
zBW_problem_6_138__0,2242.588043,1,2,1,5550.80986,1,2,1,6269.308329,1,2,3
ferry-l6-c6__6,2243.424177,1,2,1,5747.946262,1,1,,5945.846796,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__8,2244.149923,1,2,1,,,,,5719.099522,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__7,2244.621038,1,2,1,,,,,6152.296782,1,1,
ferry-l6-c6__88,2246.410131,1,2,1,5602.203608,1,1,,5156.52895,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__2,2249.115705,1,2,1,,,,,5612.480164,1,1,
ferry-l6-c6__23,2258.589268,1,2,1,5547.531366,1,1,,5319.797993,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__37,2261.177063,1,2,1,,,,,5481.861115,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__58,2264.585495,1,2,1,,,,,5601.674318,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__13,2271.823883,1,2,1,,,,,5520.509005,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__25,2271.977425,1,2,1,,,,,5747.946262,1,1,
ferry-l6-c6__49,2273.965597,1,2,1,5408.866882,1,1,,5334.485054,1,1,
ferry-l6-c6__8,2275.189638,1,2,1,5914.204121,1,1,,5501.735687,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__26,2275.682688,1,2,1,,,,,5569.048882,1,1,
ferry-l6-c6__25,2276.689291,1,2,1,5699.170113,1,1,,5437.037468,1,1,
ferry-l6-c6__24,2276.876211,1,2,1,5788.162947,1,1,,5477.713823,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__52,2276.952267,1,2,1,,,,,5330.90353,1,1,
zBW_problem_6_157__0,2277.114868,1,2,1,6072.20149,1,2,1,4819.877386,1,2,3
ferry-l6-c6__71,2277.470827,1,2,1,5481.861115,1,1,,5531.489134,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__6,2277.993441,1,2,1,,,,,5327.89135,1,1,
ferry-l6-c6__79,2279.14834,1,2,1,5642.473459,1,1,,5614.967823,1,1,
ferry-l6-c6__18,2279.304981,1,2,1,5548.40517,1,1,,5688.856602,1,1,
ferry-l6-c6__15,2279.649973,1,2,1,5262.482643,1,1,,5967.586756,1,1,
zBW_problem_6_141__0,2280.506611,1,2,1,6504.80032,1,2,1,8839.072227,1,2,3
zBW_problem_6_134__0,2282.060862,1,2,1,7048.499584,1,2,1,6262.210369,0,-1,-1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__15,2282.275915,1,2,1,8218.260527,1,2,1,5931.663513,1,2,3
ferry-l6-c6__96,2283.631563,1,2,1,5424.47567,1,1,,5488.97934,1,1,
zBW_problem_6_152__0,2285.379171,1,2,1,6472.939253,1,2,1,7738.944292,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__10,2290.284872,1,2,1,8136.425972,1,2,1,5973.120213,1,2,3
ferry-l6-c6__22,2290.40432,1,2,1,5619.299173,1,1,,5299.040556,1,1,
ferry-l6-c6__20,2291.439056,1,2,1,5690.637112,1,1,,5582.548618,1,1,
ferry-l6-c6__87,2294.08288,1,2,1,5330.90353,1,1,,5505.371571,1,1,
ferry-l6-c6__38,2294.233799,1,2,1,5509.611368,1,1,,5129.17161,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__21,2294.481516,1,2,1,,,,,5547.531366,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__36,2296.546221,1,2,1,,,,,5758.279562,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__17,2298.48814,1,2,1,8276.994228,1,2,1,5692.703962,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__3,2298.570156,1,2,1,,,,,5551.125765,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__16,2299.220562,1,2,1,,,,,5901.676893,1,1,
zBW_problem_6_136__0,2299.84355,1,2,1,5680.957317,1,2,1,4505.636454,1,2,3
ferry-l6-c6__66,2300.747633,1,2,1,5643.613815,1,1,,5543.567181,1,1,
ferry-l6-c6__55,2301.651001,1,2,1,5401.88241,1,1,,5790.119886,1,1,
ferry-l6-c6__9,2304.531813,1,2,1,5601.21274,1,1,,4929.684877,1,1,
zBW_problem_6_130__0,2305.362225,1,2,1,5843.048811,1,2,1,4671.993971,1,2,3
ferry-l6-c6__21,2305.761576,1,2,1,5552.965403,1,1,,5655.456543,1,1,
ferry-l6-c6__53,2305.856466,1,2,1,5458.759546,1,1,,5614.618778,1,1,
ferry-l6-c6__65,2307.14345,1,2,1,5808.857441,1,1,,5536.784887,1,1,
ferry-l6-c6__77,2309.425116,1,2,1,5342.61775,1,1,,5228.616238,1,1,
ferry-l6-c6__95,2310.61697,1,2,1,5719.099522,1,1,,5793.431759,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__9,2310.635805,1,2,1,,,,,5277.236462,1,1,
ferry-l6-c6__16,2311.615944,1,2,1,5564.837933,1,1,,5051.906586,1,2,3
zBW_problem_12_61__0,2312.092543,1,2,1,9372.366667,1,2,1,5548.755646,1,2,3
