Name,FD,Corr-FD,Sys-FD,Planner-FD,SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
ferry-l6-c6__46,2487.120867,1,2,1,7083.439827,1,2,1,5666.335583,1,1,
ferry-l6-c6__78,2487.455606,1,2,1,11194.38148,1,2,1,5185.975313,1,1,
zBW_problem_6_143__0,2489.287138,1,2,1,6893.22567,1,2,1,9210.96015,1,2,1
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__22,2489.341736,1,2,1,11177.64759,1,2,1,5788.162947,1,1,
ferry-l6-c6__94,2493.694067,1,2,1,5878.360033,1,2,1,5297.218561,1,1,
zBW_problem_6_105__0,2494.127274,1,2,1,7201.069117,1,2,1,9303.334713,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__31,2494.762659,1,2,1,10108.25467,1,2,1,5334.908009,1,1,
zBW_problem_6_127__0,2494.859934,1,2,1,7812.905788,1,2,1,9127.415895,1,2,3
ferry-l6-c6__10,2496.915102,1,2,1,9478.351355,1,2,1,5704.527617,1,1,
zBW_problem_10_119__0,2498.118877,1,2,1,6475.605011,1,2,1,5675.904989,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__45,2502.009869,1,2,1,8670.470476,1,2,1,5914.204121,1,1,
zBW_problem_6_129__0,2502.65646,1,2,1,7088.028908,1,2,1,8971.43364,1,2,3
ferry-l6-c6__1,2503.65448,1,2,1,9217.756987,1,2,1,5369.369507,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,2504.395723,1,2,1,8131.88386,1,2,1,5580.128193,1,1,
zBW_problem_6_195__0,2508.263111,1,2,1,7635.068893,1,2,1,6183.026791,0,-1,-1
zBW_problem_6_159__0,2512.619019,1,2,1,8270.187855,1,2,1,9625.127792,1,2,3
zBW_problem_6_163__0,2513.205051,1,2,1,7225.868702,1,2,1,9167.860746,1,2,3
zBW_problem_6_185__0,2514.136791,1,2,1,8456.608295,1,2,1,9830.476761,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__5,2514.227867,1,2,1,8360.557079,1,2,1,5481.890678,1,1,
ferry-l6-c6__84,2515.161991,1,2,1,8613.341808,1,2,1,5621.327162,1,1,
zBW_problem_6_162__0,2516.185522,1,2,1,6188.23719,1,2,1,8319.690228,1,2,3
zBW_problem_6_167__0,2521.709442,1,2,1,7714.278221,1,2,1,6061.60593,0,-1,-1
zBW_problem_10_93__0,2527.677774,1,2,1,7207.398653,1,2,1,5018.571615,1,2,3
zBW_problem_6_187__0,2527.724743,1,2,1,6862.500906,1,2,1,9090.987444,1,2,1
zBW_problem_6_189__0,2528.454542,1,2,1,7875.159264,1,2,1,7993.162394,0,-1,-1
zBW_problem_12_22__0,2530.261517,1,2,1,6656.895161,1,2,1,5368.83688,1,2,3
ferry-l6-c6__67,2531.516314,1,2,1,9797.582388,1,2,1,6344.914198,1,1,
zBW_problem_6_156__0,2534.927368,1,2,1,7474.183321,1,2,1,9813.947201,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__6,2536.469221,1,2,1,8566.594601,1,2,1,5312.645912,1,1,
zBW_problem_6_146__0,2537.040234,1,2,1,7958.495855,1,2,1,8004.138708,0,-1,-1
zBW_problem_6_188__0,2548.16103,1,2,1,7631.587267,1,2,1,9839.556932,1,2,3
zBW_problem_6_114__0,2550.264359,1,2,1,6996.732473,1,2,1,10207.39341,1,2,3
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__33,2552.496672,1,2,1,8435.369253,1,2,1,5294.703007,1,1,
zBW_problem_6_151__0,2557.584286,1,2,1,7151.015759,1,2,1,9342.030764,1,2,1
zBW_problem_10_103__0,2558.221817,1,2,1,6887.671709,1,2,1,5294.667959,1,2,3
zBW_problem_6_117__0,2559.419155,1,2,1,6960.812807,1,2,1,9003.338099,1,2,3
zBW_problem_6_174__0,2560.929537,1,2,1,7105.537891,1,2,1,9056.111336,1,2,3
zBW_problem_10_106__0,2565.728664,1,2,1,6527.099133,1,2,1,8923.428535,1,2,1
zBW_problem_6_186__0,2566.576481,1,2,1,6607.713938,1,2,1,8293.744326,1,2,3
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__8,2571.745634,1,2,1,9813.120365,1,2,1,5014.867783,1,1,
zBW_problem_6_115__0,2573.163509,1,2,1,7637.152672,1,2,1,7982.761621,0,-1,-1
zBW_problem_6_170__0,2576.713562,1,2,1,8527.884722,1,2,1,8490.990639,1,2,3
zBW_problem_6_168__0,2579.196215,1,2,1,6699.163914,1,2,1,8368.450642,1,2,3
zBW_problem_6_126__0,2579.35977,1,2,1,7943.771124,1,2,1,9177.149057,1,2,3
zBW_problem_12_65__0,2585.530043,1,2,1,8507.68733,1,2,1,6767.166376,1,2,3
zBW_problem_6_158__0,2588.009357,1,2,1,8834.695816,1,2,1,10435.09245,1,2,3
ferry-l6-c6__12,2588.120937,1,2,1,9744.714975,1,2,1,6192.872047,1,1,
zBW_problem_6_133__0,2601.979733,1,2,1,7252.047539,1,2,1,10630.88679,1,2,3
zBW_problem_6_132__0,2606.307507,1,2,1,7830.541372,1,2,1,9101.745605,1,2,3
