Problem-JAC,Jaccard,Correctness-JAC,Sys-JAC,Problem-PF,SOFAIxPlansformers,Correctness-PF,Sys-PF,Problem-MIX,SOFAIxPlanning,Correctness-MIX,Sys-MIX,Problem-FD,Fast Downward,Correctness-FD,Sys-FD
problem_04_0421,0.0,1.0,2,problem_04_0421,7694.37050819397,1.0,1,problem_04_0422,13414.896249771118,1.0,1,problem_04_0421,0.0,1.0,2
problem_04_0422,0.0,1.0,2,problem_04_0422,13136.327981948853,1.0,1,problem_04_0423,12226.692914962769,1.0,1,problem_04_0422,0.0,1.0,2
problem_04_0423,0.0,1.0,2,problem_04_0423,12027.446269989014,1.0,1,problem_04_0424,10001.22356414795,1.0,1,problem_04_0423,0.0,1.0,2
problem_04_0424,0.0,1.0,2,problem_04_0424,9745.884895324709,1.0,1,problem_04_0425,13435.16445159912,1.0,1,problem_04_0424,0.0,1.0,2
problem_04_0425,15.625,1.0,2,problem_04_0425,10929.560661315918,1.0,1,problem_04_0426,10033.719301223757,1.0,1,problem_04_0425,0.0,1.0,2
problem_04_0426,15.650510787963867,0.7142857142857143,1,problem_04_0426,10000.521659851074,1.0,1,problem_04_0427,10050.864934921265,1.0,1,problem_04_0426,0.0,1.0,2
problem_04_0427,0.0,1.0,2,problem_04_0427,10015.462160110474,1.0,1,problem_04_0428,11989.33172225952,1.0,1,problem_04_0427,0.0,1.0,2
problem_04_0428,0.0,1.0,2,problem_04_0428,12136.568069458008,1.0,1,problem_04_0429,11152.68611907959,1.0,1,problem_04_0428,0.0,1.0,2
problem_04_0429,0.0,1.0,2,problem_04_0429,10875.383853912354,1.0,1,problem_04_0430,11318.48692893982,1.0,1,problem_04_0429,0.0,1.0,2
problem_04_0430,15.88153839111328,0.6666666666666666,1,problem_04_0430,10919.41523551941,1.0,1,problem_04_0431,10230.602741241457,1.0,1,problem_04_0430,0.0,1.0,2
problem_04_0431,15.625,1.0,2,problem_04_0431,9879.624366760254,1.0,1,problem_04_0432,11042.339563369753,1.0,1,problem_04_0431,0.0,1.0,2
problem_04_0432,0.0,1.0,2,problem_04_0432,10916.990995407104,1.0,1,problem_04_0433,11250.76389312744,1.0,1,problem_04_0432,0.0,1.0,2
problem_04_0433,0.0,1.0,2,problem_04_0433,10990.628004074097,1.0,1,problem_04_0434,9733.86836051941,1.0,1,problem_04_0433,0.0,1.0,2
problem_04_0434,0.0,1.0,2,problem_04_0434,9850.622653961182,1.0,1,problem_04_0435,12036.95583343506,1.0,1,problem_04_0434,0.0,1.0,2
