Name,Time-FD,Corr-FD,Sys-FD,Planner-FD
_problem_12_12__0,61090.10100364685,0.0,-1,-1
_problem_12_15__0,61144.55461502075,0.0,-1,-1
_problem_12_16__0,61122.96152114868,0.0,-1,-1
_problem_12_17__0,61148.181200027466,0.0,-1,-1
_problem_12_20__0,61145.16472816467,0.0,-1,-1
_problem_12_23__0,61153.932094573975,0.0,-1,-1
_problem_12_25__0,61179.42476272583,0.0,-1,-1
_problem_12_32__0,61191.91598892212,0.0,-1,-1
_problem_12_34__0,61141.84856414795,0.0,-1,-1
_problem_12_38__0,61153.12194824219,0.0,-1,-1
_problem_12_42__0,61142.98629760742,0.0,-1,-1
_problem_12_43__0,61187.40057945252,0.0,-1,-1
_problem_12_47__0,61139.342069625854,0.0,-1,-1
_problem_12_48__0,61219.17533874512,0.0,-1,-1
_problem_12_51__0,61153.52845191956,0.0,-1,-1
_problem_12_55__0,61216.19439125061,0.0,-1,-1
_problem_12_56__0,61156.61263465881,0.0,-1,-1
_problem_12_58__0,61153.95021438599,0.0,-1,-1
_problem_12_68__0,61141.77966117859,0.0,-1,-1
_problem_12_69__0,61181.60080909729,0.0,-1,-1
_problem_4_6_7_113__0,61180.02462387085,0.0,-1,-1
_problem_4_6_7_114__0,61145.83110809326,0.0,-1,-1
_problem_4_6_7_115__0,61253.0403137207,0.0,-1,-1
_problem_4_6_7_116__0,61128.68404388428,0.0,-1,-1
_problem_4_6_7_117__0,61166.90540313721,0.0,-1,-1
_problem_4_6_7_118__0,61117.769956588745,0.0,-1,-1
_problem_4_6_7_121__0,61161.43703460693,0.0,-1,-1
_problem_4_6_7_122__0,61120.70989608765,0.0,-1,-1
_problem_4_6_7_123__0,61135.4763507843,0.0,-1,-1
_problem_4_6_7_124__0,61114.02940750122,0.0,-1,-1
_problem_4_6_7_125__0,61117.14696884155,0.0,-1,-1
_problem_4_6_7_126__0,61161.632776260376,0.0,-1,-1
_problem_4_6_7_127__0,61120.88561058045,0.0,-1,-1
_problem_4_6_7_128__0,61151.41201019287,0.0,-1,-1
_problem_4_6_7_129__0,61150.15482902527,0.0,-1,-1
_problem_4_6_7_130__0,61146.01707458496,0.0,-1,-1
_problem_4_6_7_131__0,61111.41061782837,0.0,-1,-1
_problem_4_6_7_132__0,61112.32376098633,0.0,-1,-1
_problem_4_6_7_133__0,61144.320249557495,0.0,-1,-1
_problem_4_6_7_134__0,61163.283824920654,0.0,-1,-1
_problem_4_6_7_135__0,61160.38107872009,0.0,-1,-1
_problem_4_6_7_136__0,61089.33138847351,0.0,-1,-1
_problem_4_6_7_137__0,61131.13212585449,0.0,-1,-1
_problem_4_6_7_140__0,61158.48517417908,0.0,-1,-1
_problem_4_6_7_141__0,61126.739501953125,0.0,-1,-1
_problem_4_6_7_142__0,61146.21043205261,0.0,-1,-1
_problem_4_6_7_143__0,61096.55427932739,0.0,-1,-1
_problem_4_6_7_144__0,61166.56589508057,0.0,-1,-1
