Name,Time-LPG,Corr-LPG,Sys-LPG,Planner-LPG,Time-FD,Corr-FD,Sys-FD,Planner-FD,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
ferry-l6-c6__0,235.5499267578125,1.0,2,2,1401.526927947998,1.0,2,1,7171.83780670166,1.0,2,1,4698.656320571899,1.0,2,3.0
ferry-l6-c6__1,166.27931594848633,1.0,2,2,1458.493947982788,1.0,2,1,8136.203050613403,1.0,2,1,4311.125755310059,1.0,1,
ferry-l6-c6__10,157.84311294555664,1.0,2,2,1452.4221420288086,1.0,2,1,8463.415622711182,1.0,2,1,4647.968292236328,1.0,1,
ferry-l6-c6__11,194.1044330596924,1.0,2,2,1387.6185417175293,1.0,2,1,6454.640626907349,1.0,2,1,4420.667409896851,1.0,1,
ferry-l6-c6__12,178.73358726501465,1.0,2,2,1535.4621410369873,1.0,2,1,8717.474937438965,1.0,2,1,5105.303525924683,1.0,1,
ferry-l6-c6__13,173.24328422546387,1.0,2,2,1356.8732738494873,1.0,2,1,6613.039255142212,1.0,2,1,4593.569755554199,1.0,1,
ferry-l6-c6__14,177.47092247009277,1.0,2,2,1307.5065612792969,1.0,2,1,6936.551809310913,1.0,2,1,4382.217645645142,1.0,1,
ferry-l6-c6__15,195.2681541442871,1.0,2,2,1267.693281173706,1.0,2,1,8371.264934539795,1.0,2,1,4904.39510345459,1.0,1,
ferry-l6-c6__16,155.55739402770996,1.0,2,2,1257.40647315979,1.0,2,1,10293.391704559326,1.0,2,1,3988.342523574829,1.0,2,3.0
ferry-l6-c6__17,174.44562911987305,1.0,2,2,1313.5497570037842,1.0,2,1,6351.970434188843,1.0,2,1,5175.010681152344,1.0,2,3.0
ferry-l6-c6__18,180.4451942443848,1.0,2,2,1256.9482326507568,1.0,2,1,8518.01323890686,1.0,2,1,4644.419193267822,1.0,1,
ferry-l6-c6__19,180.08780479431152,1.0,2,2,1308.0778121948242,1.0,2,1,6298.264026641846,1.0,2,1,4424.509048461914,1.0,1,
ferry-l6-c6__2,168.61581802368164,1.0,2,2,1418.8475608825684,1.0,2,1,6150.590419769287,1.0,2,1,4356.07647895813,1.0,1,
