Name,Time-LPG,Corr-LPG,Sys-LPG,Planner-LPG,Time-FD,Corr-FD,Sys-FD,Planner-FD,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__11,175.2622128,1,2,2,1142.698288,1,2,1,7182.094336,1,2,1,4653.255939,1,1,
ferry-l6-c6__98,172.1503735,1,2,2,1164.516926,1,2,1,6245.037079,1,2,1,4281.505346,1,1,
ferry-l6-c6__57,174.2756367,1,2,2,1173.306704,1,2,1,6078.568459,1,2,1,3987.1068,1,1,
hanoiproblem_6_183__0,587.7358913,1,2,2,1177.700281,1,2,1,5055.947781,1,2,1,4312.793732,0,-1,-1
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__13,164.6230221,1,2,2,1178.16186,1,2,1,9207.764149,1,2,1,4207.870007,1,1,
hanoiproblem_6_194__0,234.3096733,1,2,2,1184.023142,1,2,1,4944.982767,1,2,1,4339.605093,1,2,3
hanoiproblem_6_138__0,162.1334553,1,2,2,1198.13323,1,2,1,4508.30555,1,2,1,4390.86771,1,2,3
ferry-l6-c6__71,193.1614876,1,2,2,1212.861776,1,2,1,5282.675505,1,2,1,4446.822166,1,1,
ferry-l6-c6__97,178.3032417,1,2,2,1215.361595,1,2,1,4828.882456,1,2,1,4700.221539,1,1,
ferry-l6-c6__41,177.1278381,1,2,2,1216.290712,1,2,1,10699.22376,1,2,1,4511.09004,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__7,204.4959068,1,2,2,1221.261978,1,2,1,6986.716747,1,2,1,4502.028465,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__51,168.0350304,1,2,2,1222.678185,1,2,1,7471.998215,1,2,1,4340.918064,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__37,175.2233505,1,2,2,1223.867893,1,2,1,7540.121317,1,2,1,4430.137634,1,1,
mixed-f10-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__6,169.1122055,1,2,2,1229.613543,1,2,1,8939.939976,1,2,1,4296.754122,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__25,190.5012131,1,2,2,1231.450081,1,2,1,7292.68527,1,2,1,4657.60994,1,1,
ferry-l6-c6__23,176.24259,1,2,2,1232.500792,1,2,1,7408.394575,1,2,1,4206.689596,1,1,
ferry-l6-c6__6,166.1305428,1,2,2,1232.515335,1,2,1,8834.129333,1,2,1,4886.421442,1,1,
hanoiproblem_6_130__0,182.8796864,1,2,2,1234.307528,1,2,1,4774.184227,1,2,1,3561.738253,1,2,3
ferry-l6-c6__8,174.7071743,1,2,2,1234.909058,1,2,1,6867.717743,1,2,1,4436.450481,1,2,3
ferry-l6-c6__88,187.2835159,1,2,2,1235.183716,1,2,1,5619.600534,1,2,1,4140.001059,1,1,
ferry-l6-c6__47,172.0237732,1,2,2,1236.997843,1,2,1,6259.010315,1,2,1,4164.990902,1,1,
hanoiproblem_6_157__0,174.9839783,1,2,2,1237.29372,1,2,1,5023.140192,1,2,1,3771.50321,1,2,3
ferry-l6-c6__33,161.9300842,1,2,2,1238.563061,1,2,1,8594.402552,1,2,1,4135.520935,1,1,
ferry-l6-c6__49,195.2238083,1,2,2,1241.518736,1,2,1,6697.454453,1,2,1,4314.180374,1,1,
ferry-l6-c6__86,213.889122,1,2,2,1242.086887,1,2,1,9600.41523,1,2,1,4144.965172,1,1,
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__26,178.4074306,1,2,2,1243.143559,1,2,1,7752.8584,1,2,1,4513.262987,1,1,
