Name,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD
_problem_12_12__0,61084.312200546265,0.0,-1,-1
_problem_12_15__0,60235.31746864319,0.0,-1,-1
_problem_12_16__0,60948.93789291382,0.0,-1,-1
_problem_12_17__0,60311.99836730957,0.0,-1,-1
_problem_12_20__0,60924.74126815796,0.0,-1,-1
_problem_12_23__0,60231.46653175354,0.0,-1,-1
_problem_12_25__0,60766.67237281799,0.0,-1,-1
_problem_12_32__0,60387.4192237854,0.0,-1,-1
_problem_12_34__0,60710.43848991394,0.0,-1,-1
_problem_12_35__0,60816.704511642456,0.0,-1,-1
_problem_12_38__0,60649.022340774536,0.0,-1,-1
_problem_12_42__0,61050.62460899353,0.0,-1,-1
_problem_12_43__0,60277.32563018799,0.0,-1,-1
_problem_12_45__0,60145.28799057007,0.0,-1,-1
_problem_12_47__0,60263.61012458801,0.0,-1,-1
_problem_12_48__0,60845.2467918396,0.0,-1,-1
_problem_12_49__0,60406.259059906006,0.0,-1,-1
_problem_12_51__0,60574.99122619629,0.0,-1,-1
_problem_12_55__0,60215.23404121399,0.0,-1,-1
_problem_12_56__0,60450.8228302002,0.0,-1,-1
_problem_12_58__0,60257.02381134033,0.0,-1,-1
_problem_12_68__0,60935.47701835632,0.0,-1,-1
_problem_12_69__0,60238.60168457031,0.0,-1,-1
_problem_4_6_7_113__0,60931.771993637085,0.0,-1,-1
_problem_4_6_7_114__0,60731.90665245056,0.0,-1,-1
_problem_4_6_7_115__0,60749.61352348328,0.0,-1,-1
_problem_4_6_7_116__0,60374.605894088745,0.0,-1,-1
_problem_4_6_7_117__0,60681.70070648193,0.0,-1,-1
_problem_4_6_7_118__0,60510.093450546265,0.0,-1,-1
_problem_4_6_7_121__0,60514.508962631226,0.0,-1,-1
_problem_4_6_7_122__0,60442.14963912964,0.0,-1,-1
_problem_4_6_7_123__0,60913.58017921448,0.0,-1,-1
_problem_4_6_7_124__0,60783.082485198975,0.0,-1,-1
_problem_4_6_7_125__0,60697.17049598694,0.0,-1,-1
_problem_4_6_7_126__0,60413.72966766357,0.0,-1,-1
_problem_4_6_7_127__0,60263.85235786438,0.0,-1,-1
_problem_4_6_7_128__0,60835.90221405029,0.0,-1,-1
_problem_4_6_7_129__0,61028.65195274353,0.0,-1,-1
_problem_4_6_7_130__0,60720.0186252594,0.0,-1,-1
_problem_4_6_7_131__0,60577.56328582764,0.0,-1,-1
_problem_4_6_7_132__0,61067.42000579834,0.0,-1,-1
_problem_4_6_7_133__0,60285.77995300293,0.0,-1,-1
_problem_4_6_7_134__0,60969.74062919617,0.0,-1,-1
_problem_4_6_7_135__0,60487.22219467163,0.0,-1,-1
_problem_4_6_7_136__0,60406.31318092346,0.0,-1,-1
_problem_4_6_7_137__0,60429.58927154541,0.0,-1,-1
_problem_4_6_7_140__0,60830.70421218872,0.0,-1,-1
_problem_4_6_7_141__0,60719.477891922,0.0,-1,-1
_problem_4_6_7_142__0,60966.64547920227,0.0,-1,-1
_problem_4_6_7_143__0,60961.554765701294,0.0,-1,-1
_problem_4_6_7_144__0,60902.08554267883,0.0,-1,-1
_problem_4_6_7_145__0,60332.10396766663,0.0,-1,-1
_problem_4_6_7_146__0,60435.60314178467,0.0,-1,-1
_problem_4_6_7_148__0,60971.50707244873,0.0,-1,-1
_problem_4_6_7_149__0,60171.82517051697,0.0,-1,-1
_problem_4_6_7_151__0,60939.66722488403,0.0,-1,-1
_problem_4_6_7_152__0,60825.03890991211,0.0,-1,-1
_problem_4_6_7_153__0,60977.42915153504,0.0,-1,-1
_problem_4_6_7_154__0,60616.27531051636,0.0,-1,-1
_problem_4_6_7_155__0,61036.58366203308,0.0,-1,-1
_problem_4_6_7_156__0,60359.69614982605,0.0,-1,-1
_problem_4_6_7_157__0,60297.22356796265,0.0,-1,-1
_problem_4_6_7_158__0,60987.428188323975,0.0,-1,-1
_problem_4_6_7_159__0,60958.00757408142,0.0,-1,-1
_problem_4_6_7_160__0,60665.81892967224,0.0,-1,-1
_problem_4_6_7_161__0,60613.01255226135,0.0,-1,-1
_problem_4_6_7_163__0,60529.64973449707,0.0,-1,-1
_problem_4_6_7_164__0,60753.80539894104,0.0,-1,-1
_problem_4_6_7_165__0,60713.35005760193,0.0,-1,-1
_problem_4_6_7_166__0,60476.34172439575,0.0,-1,-1
_problem_4_6_7_167__0,60919.87299919128,0.0,-1,-1
_problem_4_6_7_168__0,60368.63875389099,0.0,-1,-1
_problem_4_6_7_169__0,60577.57067680359,0.0,-1,-1
_problem_4_6_7_170__0,60536.3757610321,0.0,-1,-1
_problem_4_6_7_172__0,60860.13436317444,0.0,-1,-1
_problem_4_6_7_173__0,60531.48412704468,0.0,-1,-1
_problem_4_6_7_176__0,60944.6976184845,0.0,-1,-1
_problem_4_6_7_177__0,60814.19897079468,0.0,-1,-1
_problem_4_6_7_178__0,60478.65056991577,0.0,-1,-1
_problem_4_6_7_179__0,60536.70287132263,0.0,-1,-1
_problem_4_6_7_180__0,60310.651779174805,0.0,-1,-1
_problem_4_6_7_181__0,60398.34952354431,0.0,-1,-1
_problem_4_6_7_182__0,60431.65826797485,0.0,-1,-1
_problem_4_6_7_183__0,60807.26385116577,0.0,-1,-1
_problem_4_6_7_184__0,60888.901710510254,0.0,-1,-1
_problem_4_6_7_185__0,60529.0641784668,0.0,-1,-1
_problem_4_6_7_187__0,60957.31735229492,0.0,-1,-1
_problem_4_6_7_188__0,60687.85977363586,0.0,-1,-1
_problem_4_6_7_189__0,60961.61890029907,0.0,-1,-1
_problem_4_6_7_190__0,61059.359312057495,0.0,-1,-1
_problem_4_6_7_191__0,60686.39492988586,0.0,-1,-1
_problem_4_6_7_192__0,60539.17956352234,0.0,-1,-1
_problem_4_6_7_193__0,60177.207708358765,0.0,-1,-1
_problem_4_6_7_194__0,60515.16938209534,0.0,-1,-1
_problem_4_6_7_196__0,60849.07031059265,0.0,-1,-1
_problem_4_6_7_197__0,60639.39070701599,0.0,-1,-1
_problem_4_6_7_198__0,60520.39170265198,0.0,-1,-1
_problem_4_6_7_199__0,60712.1045589447,0.0,-1,-1
_problem_5_7_9_10__0,60731.181383132935,0.0,-1,-1
_problem_5_7_9_11__0,61132.66086578369,0.0,-1,-1
_problem_5_7_9_12__0,60662.48154640198,0.0,-1,-1
_problem_5_7_9_13__0,60724.33280944824,0.0,-1,-1
_problem_5_7_9_14__0,61257.93933868408,0.0,-1,-1
_problem_5_7_9_15__0,60294.13890838623,0.0,-1,-1
_problem_5_7_9_16__0,60382.76791572571,0.0,-1,-1
_problem_5_7_9_17__0,60149.0204334259,0.0,-1,-1
_problem_5_7_9_18__0,60570.16372680664,0.0,-1,-1
_problem_5_7_9_19__0,60262.40634918213,0.0,-1,-1
_problem_5_7_9_20__0,60899.93190765381,0.0,-1,-1
_problem_5_7_9_5__0,60235.19587516785,0.0,-1,-1
blocksworld_problem_10_100__0,7414.393424987793,1.0,2,1
blocksworld_problem_10_101__0,7257.562160491943,1.0,2,1
blocksworld_problem_10_102__0,6667.340517044067,1.0,2,1
blocksworld_problem_10_103__0,6887.671709060669,1.0,2,1
blocksworld_problem_10_104__0,7083.729982376099,1.0,2,1
blocksworld_problem_10_105__0,6603.131771087647,1.0,2,1
blocksworld_problem_10_106__0,6527.099132537842,1.0,2,1
blocksworld_problem_10_107__0,6527.547359466553,1.0,2,1
blocksworld_problem_10_108__0,8016.573429107666,1.0,2,1
blocksworld_problem_10_109__0,46874.69387054443,1.0,2,1
blocksworld_problem_10_110__0,6866.987466812134,1.0,2,1
blocksworld_problem_10_111__0,7103.416442871094,1.0,2,1
blocksworld_problem_10_112__0,8125.872373580933,1.0,2,1
blocksworld_problem_10_113__0,8472.18108177185,1.0,2,1
