Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
_problem_10_96__0,5868.489980697632,0.0,-1,-1.0
_problem_12_17__0,60256.77251815796,0.0,-1,-1.0
_problem_12_34__0,60468.188524246216,0.0,-1,-1.0
_problem_12_43__0,60182.92784690857,0.0,-1,-1.0
_problem_12_47__0,60297.61791229248,0.0,-1,-1.0
_problem_12_52__0,5634.312152862549,0.0,-1,-1.0
_problem_12_56__0,61373.3971118927,0.0,-1,-1.0
_problem_12_9__0,5215.579032897949,0.0,-1,-1.0
_problem_6_107__0,6037.787437438965,0.0,-1,-1.0
_problem_6_108__0,6570.86968421936,0.0,-1,-1.0
_problem_6_113__0,6752.596616744995,0.0,-1,-1.0
_problem_6_115__0,7982.76162147522,0.0,-1,-1.0
_problem_6_116__0,8132.147312164307,0.0,-1,-1.0
_problem_6_120__0,7246.771335601807,0.0,-1,-1.0
_problem_6_134__0,6262.210369110107,0.0,-1,-1.0
_problem_6_135__0,6531.843423843384,0.0,-1,-1.0
_problem_6_146__0,8004.138708114624,0.0,-1,-1.0
_problem_6_164__0,5262.374877929688,0.0,-1,-1.0
_problem_6_165__0,5273.656129837036,0.0,-1,-1.0
_problem_6_167__0,6061.605930328369,0.0,-1,-1.0
_problem_6_175__0,5137.198448181152,0.0,-1,-1.0
_problem_6_183__0,5413.931846618652,0.0,-1,-1.0
_problem_6_189__0,7993.162393569946,0.0,-1,-1.0
_problem_6_190__0,6033.394813537598,0.0,-1,-1.0
_problem_6_195__0,6183.0267906188965,0.0,-1,-1.0
_problem_6_196__0,6394.893646240234,0.0,-1,-1.0
_problem_6_197__0,6572.021722793579,0.0,-1,-1.0
blocksworld_problem_10_100__0,5684.963703155518,1.0,2,3.0
blocksworld_problem_10_101__0,5358.02698135376,1.0,2,3.0
blocksworld_problem_10_102__0,5675.19736289978,1.0,2,3.0
blocksworld_problem_10_103__0,5294.667959213257,1.0,2,3.0
blocksworld_problem_10_104__0,8473.26922416687,1.0,2,1.0
blocksworld_problem_10_105__0,5310.46199798584,1.0,2,3.0
blocksworld_problem_10_106__0,8923.428535461426,1.0,2,1.0
blocksworld_problem_10_107__0,5403.635740280151,1.0,2,3.0
blocksworld_problem_10_108__0,5781.037092208862,1.0,2,3.0
blocksworld_problem_10_109__0,5467.010974884033,1.0,2,3.0
blocksworld_problem_10_110__0,5698.5368728637695,1.0,2,3.0
blocksworld_problem_10_111__0,5237.059831619263,1.0,2,3.0
blocksworld_problem_10_112__0,5389.59264755249,1.0,2,3.0
blocksworld_problem_10_113__0,5452.7435302734375,1.0,2,3.0
blocksworld_problem_10_114__0,5474.97034072876,1.0,2,3.0
blocksworld_problem_10_115__0,5180.51815032959,1.0,2,3.0
blocksworld_problem_10_116__0,5533.553838729858,1.0,2,3.0
blocksworld_problem_10_117__0,5778.247833251953,1.0,2,3.0
blocksworld_problem_10_118__0,5087.28289604187,1.0,2,3.0
blocksworld_problem_10_119__0,5675.904989242554,1.0,2,3.0
blocksworld_problem_10_91__0,5152.500629425049,1.0,2,3.0
blocksworld_problem_10_92__0,5461.899280548096,1.0,2,3.0
blocksworld_problem_10_93__0,5018.571615219116,1.0,2,3.0
blocksworld_problem_10_94__0,5597.388029098511,1.0,2,3.0
blocksworld_problem_10_95__0,5573.18115234375,1.0,2,3.0
