Name,Time-FD,Corr-FD,Sys-FD,Planner-FD
ferry-l6-c6__0,1401.526927947998,1.0,2,1
ferry-l6-c6__1,1458.493947982788,1.0,2,1
ferry-l6-c6__10,1452.4221420288086,1.0,2,1
ferry-l6-c6__11,1387.6185417175293,1.0,2,1
ferry-l6-c6__12,1535.4621410369873,1.0,2,1
ferry-l6-c6__13,1356.8732738494873,1.0,2,1
ferry-l6-c6__14,1307.5065612792969,1.0,2,1
ferry-l6-c6__15,1267.693281173706,1.0,2,1
ferry-l6-c6__16,1257.40647315979,1.0,2,1
ferry-l6-c6__17,1313.5497570037842,1.0,2,1
ferry-l6-c6__18,1256.9482326507568,1.0,2,1
ferry-l6-c6__19,1308.0778121948242,1.0,2,1
ferry-l6-c6__2,1418.8475608825684,1.0,2,1
ferry-l6-c6__20,1249.720335006714,1.0,2,1
ferry-l6-c6__21,1253.990888595581,1.0,2,1
ferry-l6-c6__22,1256.6909790039062,1.0,2,1
ferry-l6-c6__23,1232.5007915496826,1.0,2,1
ferry-l6-c6__24,1258.4505081176758,1.0,2,1
ferry-l6-c6__25,1246.8867301940918,1.0,2,1
ferry-l6-c6__26,1312.6749992370603,1.0,2,1
ferry-l6-c6__27,1369.551181793213,1.0,2,1
ferry-l6-c6__28,1285.820484161377,1.0,2,1
ferry-l6-c6__29,1409.217119216919,1.0,2,1
ferry-l6-c6__3,1408.4300994873047,1.0,2,1
ferry-l6-c6__30,1300.112009048462,1.0,2,1
ferry-l6-c6__31,1361.274242401123,1.0,2,1
ferry-l6-c6__32,1432.9185485839844,1.0,2,1
ferry-l6-c6__33,1238.563060760498,1.0,2,1
ferry-l6-c6__34,1340.0344848632812,1.0,2,1
ferry-l6-c6__35,1402.928590774536,1.0,2,1
ferry-l6-c6__36,1361.398458480835,1.0,2,1
ferry-l6-c6__37,1385.2176666259766,1.0,2,1
ferry-l6-c6__38,1282.9813957214355,1.0,2,1
ferry-l6-c6__39,1262.5117301940918,1.0,2,1
ferry-l6-c6__4,1425.649881362915,1.0,2,1
ferry-l6-c6__40,1301.9523620605469,1.0,2,1
ferry-l6-c6__41,1216.2907123565674,1.0,2,1
ferry-l6-c6__42,1315.5217170715332,1.0,2,1
ferry-l6-c6__43,1256.742238998413,1.0,2,1
ferry-l6-c6__44,1281.238317489624,1.0,2,1
ferry-l6-c6__45,1298.0878353118896,1.0,2,1
ferry-l6-c6__46,1347.214937210083,1.0,2,1
ferry-l6-c6__47,1236.9978427886963,1.0,2,1
ferry-l6-c6__48,1272.7572917938232,1.0,2,1
ferry-l6-c6__49,1241.51873588562,1.0,2,1
ferry-l6-c6__5,1296.3919639587402,1.0,2,1
ferry-l6-c6__50,1321.763038635254,1.0,2,1
ferry-l6-c6__51,1342.1509265899658,1.0,2,1
ferry-l6-c6__52,1354.6125888824463,1.0,2,1
ferry-l6-c6__53,1285.897970199585,1.0,2,1
ferry-l6-c6__54,1299.729824066162,1.0,2,1
ferry-l6-c6__55,1274.0848064422607,1.0,2,1
ferry-l6-c6__56,1363.8103008270264,1.0,2,1
ferry-l6-c6__57,1173.3067035675049,1.0,2,1
ferry-l6-c6__58,1427.9825687408447,1.0,2,1
ferry-l6-c6__59,1398.6248970031738,1.0,2,1
ferry-l6-c6__6,1232.5153350830078,1.0,2,1
ferry-l6-c6__60,1441.5547847747805,1.0,2,1
ferry-l6-c6__61,1382.6005458831787,1.0,2,1
ferry-l6-c6__62,1319.7681903839111,1.0,2,1
ferry-l6-c6__63,1353.5714149475098,1.0,2,1
ferry-l6-c6__64,1305.6602478027344,1.0,2,1
ferry-l6-c6__65,1267.327070236206,1.0,2,1
ferry-l6-c6__66,1286.0002517700195,1.0,2,1
ferry-l6-c6__67,1431.1156272888184,1.0,2,1
