Name,Time-FD_1,Corr-FD_1,Opt-FD_1,Sys-FD_1,Planner-FD_1
BW-rand-10__0,3205.453395843506,1.0,-1.0,2,1
BW-rand-10__1,3001.0831356048584,1.0,0.0,2,1
BW-rand-11__0,3869.827508926392,1.0,-1.0,2,1
BW-rand-11__1,14053.691864013672,1.0,-1.0,2,1
BW-rand-12__0,5244.852066040039,1.0,-1.0,2,1
BW-rand-12__1,6100.987672805786,1.0,-1.0,2,1
BW-rand-13__0,4193.994998931885,1.0,-1.0,2,1
BW-rand-14__0,17793.599367141724,1.0,-1.0,2,1
BW-rand-15__0,60146.35539054871,0.0,-1.0,-1,-1
BW-rand-16__0,60163.20300102234,0.0,-1.0,-1,-1
DLOG-2-2-2__0,2823.34566116333,1.0,-1.0,2,1
DLOG-2-2-3__0,3044.0211296081543,1.0,-1.0,2,1
DLOG-3-2-5__0,5969.433307647705,1.0,-1.0,2,1
DLOG-3-3-6__0,60162.35613822937,0.0,-1.0,-1,-1
DLOG-3-3-6__1,38354.76469993591,1.0,-1.0,2,1
DLOG-4-3-7__0,60161.06295585632,0.0,-1.0,-1,-1
DLOG-4-3-7__1,60170.80044746399,0.0,-1.0,-1,-1
DLOG-4-4-8__0,60160.996198654175,0.0,-1.0,-1,-1
DLOG-4-4-8__1,24505.962133407596,1.0,-1.0,2,1
DLOG-5-5-10__0,60156.36110305786,0.0,-1.0,-1,-1
ferry-l4-c3__0,2873.4939098358154,1.0,0.0,2,1
ferry-l4-c5__0,3116.7683601379395,1.0,0.0,2,1
ferry-l4-c5__1,3000.5810260772705,1.0,0.0,2,1
ferry-l4-c6__0,2997.8363513946533,1.0,0.0,2,1
ferry-l5-c3__0,2850.227832794189,1.0,0.0,2,1
ferry-l5-c5__0,3232.524633407593,1.0,0.0,2,1
ferry-l5-c6__0,2993.2336807250977,1.0,0.0,2,1
ferry-l5-c6__1,3139.753818511963,1.0,0.0,2,1
ferry-l6-c5__0,2949.6335983276367,1.0,0.0,2,1
ferry-l6-c6__0,3257.4257850646973,1.0,0.0,2,1
gripperproblem_3_2_5_3__0,2925.1413345336914,1.0,0.0,2,1
gripperproblem_3_3_5_1__0,2983.8595390319824,1.0,0.0,2,1
gripperproblem_4_2_2_8__0,2811.706066131592,1.0,0.0,2,1
gripperproblem_4_2_3_7__0,2848.471641540528,1.0,0.0,2,1
gripperproblem_4_2_5_10__0,2793.2729721069336,1.0,0.0,2,1
gripperproblem_4_3_4_4__0,2837.556838989258,1.0,0.0,2,1
gripperproblem_5_2_2_2__0,3024.005174636841,1.0,0.0,2,1
gripperproblem_5_2_3_9__0,2744.175672531128,1.0,0.0,2,1
gripperproblem_5_3_2_6__0,2810.049772262573,1.0,0.0,2,1
gripperproblem_5_3_3_5__0,3358.758449554444,1.0,0.0,2,1
mixed-f6-p4-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,2882.5223445892334,1.0,0.0,2,1
mixed-f6-p4-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,3064.2309188842773,1.0,0.0,2,1
mixed-f6-p5-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,3031.445980072021,1.0,0.0,2,1
mixed-f6-p5-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,2976.2299060821533,1.0,0.0,2,1
mixed-f6-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,3095.639705657959,1.0,0.0,2,1
mixed-f6-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,3045.385837554932,1.0,0.0,2,1
mixed-f6-p6-u0-v0-d0-a0-n0-A0-B0-N0-F0__2,3000.873804092407,1.0,0.0,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__0,3046.5879440307617,1.0,0.0,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__1,3251.806259155273,1.0,0.0,2,1
mixed-f6-p7-u0-v0-d0-a0-n0-A0-B0-N0-F0__2,3110.728979110718,1.0,0.0,2,1
zBWproblem_2_1__0,2629.2200088500977,1.0,0.0,2,1
zBWproblem_2_6__0,2906.806945800781,1.0,0.0,2,1
zBWproblem_2_7__0,2925.6017208099365,1.0,0.0,2,1
zBWproblem_4_10__0,3137.777328491211,1.0,0.0,2,1
zBWproblem_4_5__0,2656.747817993164,1.0,0.0,2,1
zBWproblem_4_9__0,2755.78236579895,1.0,0.0,2,1
zBWproblem_5_4__0,2863.373279571533,1.0,0.0,2,1
zBWproblem_5_8__0,3102.8435230255127,1.0,0.0,2,1
zBWproblem_6_2__0,3174.78346824646,1.0,0.0,2,1
zBWproblem_6_3__0,3544.097185134888,1.0,0.0,2,1
