Name,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
ferry-l6-c6__0,4698.656320571899,1.0,2,3.0
ferry-l6-c6__1,4311.125755310059,1.0,1,
ferry-l6-c6__10,4647.968292236328,1.0,1,
ferry-l6-c6__11,4420.667409896851,1.0,1,
ferry-l6-c6__12,5105.303525924683,1.0,1,
ferry-l6-c6__13,4593.569755554199,1.0,1,
ferry-l6-c6__14,4382.217645645142,1.0,1,
ferry-l6-c6__15,4904.39510345459,1.0,1,
ferry-l6-c6__16,3988.342523574829,1.0,2,3.0
ferry-l6-c6__17,5175.010681152344,1.0,2,3.0
ferry-l6-c6__18,4644.419193267822,1.0,1,
ferry-l6-c6__19,4424.509048461914,1.0,1,
ferry-l6-c6__2,4356.07647895813,1.0,1,
ferry-l6-c6__20,4515.179872512817,1.0,1,
ferry-l6-c6__21,4627.032279968262,1.0,1,
ferry-l6-c6__22,4256.1585903167725,1.0,1,
ferry-l6-c6__23,4206.689596176148,1.0,1,
ferry-l6-c6__24,4453.135013580322,1.0,1,
ferry-l6-c6__25,4412.19687461853,1.0,1,
ferry-l6-c6__26,4482.489347457886,1.0,1,
ferry-l6-c6__27,4171.866893768311,1.0,1,
ferry-l6-c6__28,4314.80860710144,1.0,1,
ferry-l6-c6__29,4531.428575515747,1.0,1,
ferry-l6-c6__3,4680.061101913452,1.0,1,
ferry-l6-c6__30,4028.5041332244873,1.0,1,
ferry-l6-c6__31,4053.83825302124,1.0,1,
ferry-l6-c6__32,4766.477346420288,1.0,1,
ferry-l6-c6__33,4135.520935058594,1.0,1,
ferry-l6-c6__34,4656.123399734497,1.0,1,
ferry-l6-c6__35,4779.88600730896,1.0,1,
ferry-l6-c6__36,4196.192502975464,1.0,1,
ferry-l6-c6__37,4498.283863067627,1.0,1,
ferry-l6-c6__38,4098.851203918457,1.0,1,
ferry-l6-c6__39,4633.597135543823,1.0,1,
ferry-l6-c6__4,4561.131477355957,1.0,1,
ferry-l6-c6__40,4750.286102294922,1.0,1,
ferry-l6-c6__41,4511.090040206909,1.0,1,
ferry-l6-c6__42,4690.318584442139,1.0,1,
ferry-l6-c6__43,4235.597133636475,1.0,1,
ferry-l6-c6__44,4829.75172996521,1.0,2,3.0
ferry-l6-c6__45,4707.671165466309,1.0,1,
ferry-l6-c6__46,4577.35013961792,1.0,1,
ferry-l6-c6__47,4164.9909019470215,1.0,1,
ferry-l6-c6__48,4406.324625015259,1.0,1,
ferry-l6-c6__49,4314.180374145508,1.0,1,
ferry-l6-c6__5,4437.10470199585,1.0,1,
ferry-l6-c6__50,4560.141324996948,1.0,1,
ferry-l6-c6__51,4420.554399490356,1.0,1,
ferry-l6-c6__52,4168.079614639282,1.0,1,
ferry-l6-c6__53,4541.653156280518,1.0,1,
ferry-l6-c6__54,4542.1411991119385,1.0,1,
ferry-l6-c6__55,4700.897693634033,1.0,1,
ferry-l6-c6__56,4653.203010559082,1.0,1,
ferry-l6-c6__57,3987.1068000793457,1.0,1,
ferry-l6-c6__58,4351.714849472046,1.0,2,3.0
ferry-l6-c6__59,4865.493059158325,1.0,1,
ferry-l6-c6__6,4886.42144203186,1.0,1,
ferry-l6-c6__60,5046.448707580566,1.0,1,
ferry-l6-c6__61,4709.476947784424,1.0,1,
ferry-l6-c6__62,4475.661039352417,1.0,1,
ferry-l6-c6__63,4297.2681522369385,1.0,1,
ferry-l6-c6__64,4540.684223175049,1.0,1,
ferry-l6-c6__65,4483.334541320801,1.0,1,
ferry-l6-c6__66,4503.3910274505615,1.0,1,
ferry-l6-c6__67,5290.365219116211,1.0,1,
ferry-l6-c6__68,4198.781967163086,1.0,1,
ferry-l6-c6__69,4312.309265136719,1.0,1,
ferry-l6-c6__7,4140.172481536865,1.0,1,
ferry-l6-c6__70,4240.895986557007,1.0,2,3.0
ferry-l6-c6__71,4446.822166442871,1.0,1,
ferry-l6-c6__72,4205.025196075439,1.0,1,
ferry-l6-c6__73,4610.793828964233,1.0,1,
ferry-l6-c6__74,4500.512838363648,1.0,1,
ferry-l6-c6__75,4620.509386062622,1.0,1,
ferry-l6-c6__76,4581.698179244995,1.0,1,
ferry-l6-c6__77,4194.671154022217,1.0,1,
ferry-l6-c6__78,4167.184352874756,1.0,1,
ferry-l6-c6__79,4563.806056976318,1.0,1,
ferry-l6-c6__8,4436.450481414795,1.0,2,3.0
ferry-l6-c6__80,4679.587364196777,1.0,1,
ferry-l6-c6__81,4106.621026992798,1.0,1,
ferry-l6-c6__82,4382.648468017578,1.0,1,
