Problem-JAC,Time-JAC,Correctness-JAC,Sys-JAC,Problem-PF,Time-PF,Correctness-PF,Sys-PF,Problem-MIX,Time-MIX,Correctness-MIX,Sys-MIX,Problem-FD,Time-FD,Correctness-FD,Sys-FD
problem_10_1, 7.13801383972168,1.0,1,problem_10_10, 1437.5,1.0,2,problem_10_1, 30365.814208984375,1.0,1,problem_10_1, 1609.38,1.0,2
problem_10_10, 1453.12,1.0,2,problem_10_12, 22137.067079544067,0.9090909090909091,1,problem_10_10, 1484.38,1.0,2,problem_10_10, 1390.62,1.0,2
problem_10_11, 0.0,1.0,2,problem_10_13, 20300.486087799072,0.8461538461538461,1,problem_10_12, 27409.165382385254,1.0,1,problem_10_11, 15.625,1.0,2
problem_10_12, 8203.12,1.0,2,problem_10_14, 21198.13084602356,1.0,1,problem_10_13, 17958.77504348755,0.8461538461538461,1,problem_10_12, 8031.25,1.0,2
problem_10_13, 0.0,1.0,2,problem_10_15, 16342.018127441406,0.9166666666666666,1,problem_10_14, 19188.43388557434,0.8333333333333334,1,problem_10_13, 15.625,1.0,2
problem_10_14, 78.125,1.0,2,problem_10_16, 21668.445110321045,0.8333333333333334,1,problem_10_15, 16320.285558700562,0.9166666666666666,1,problem_10_14, 62.5,1.0,2
problem_10_15, 46.875,1.0,2,problem_10_18, 24895.100116729736,0.9166666666666666,1,problem_10_16, 21553.80344390869,0.8333333333333334,1,problem_10_15, 46.875,1.0,2
problem_10_16, 4265.62,1.0,2,problem_10_19, 18303.05814743042,0.75,1,problem_10_19, 20460.063695907593,0.8333333333333334,1,problem_10_16, 4203.12,1.0,2
problem_10_17, 36093.8,1.0,2,problem_10_2, 21238.045930862427,0.9166666666666666,1,problem_10_2, 21500.396490097046,0.9166666666666666,1,problem_10_17, 35359.4,1.0,2
problem_10_18, 609.375,1.0,2,problem_10_20, 22416.054010391235,0.8181818181818182,1,problem_10_20, 24120.69845199585,1.0,1,problem_10_18, 625.0,1.0,2
problem_10_19, 656.25,1.0,2,problem_10_21, 18920.154571533203,0.9230769230769231,1,problem_10_21, 19097.423553466797,0.9230769230769231,1,problem_10_19, 625.0,1.0,2
problem_10_2, 3.0486583709716797,1.0,1,problem_10_22, 15997.496843338013,0.9166666666666666,1,problem_10_22, 17362.160682678223,0.9166666666666666,1,problem_10_2, 828.125,1.0,2
problem_10_20, 47250.0,1.0,2,problem_10_23, 22436.136960983276,0.9230769230769231,1,problem_10_23, 22923.110723495483,0.9230769230769231,1,problem_10_20, 47046.9,1.0,2
problem_10_21, 31.25,1.0,2,problem_10_24, 21554.59427833557,1.0,1,problem_10_24, 23646.819591522217,1.0,1,problem_10_21, 31.25,1.0,2
problem_10_22, 1875.0,1.0,2,problem_10_25, 21122.623682022095,0.8333333333333334,1,problem_10_25, 21490.13900756836,0.8333333333333334,1,problem_10_22, 1843.75,1.0,2
problem_10_23, 375.0,1.0,2,problem_10_26, 24194.884538650513,0.8181818181818182,1,problem_10_26, 27989.856958389282,1.0,1,problem_10_23, 375.0,1.0,2
