Problem,Time,Correctness,System,Problem S2,Time  S2,Correctness  S2,System  S2
pb1_1,0.0032973,1,2,pb1_1,0.0032541,1,2
pb1_2,0.0210163,1,2,pb1_2,0.0211222,1,2
pb1_3,1.85346,1,2,pb1_3,1.73266,1,2
pb1_4,0.42581,1,2,pb1_4,0.43542,1,2
pb1_5,0.49968,1,2,pb1_5,0.54041,1,2
pb1_6,37.9655,1,2,pb1_6,42.5682,1,2
pb1_7,38.2895,1,2,pb1_7,38.4823,1,2
pb1_8,52.7755,1,2,pb1_8,52.4589,1,2
pb1_9,8.55678,1,2,pb1_9,7.7094,1,2
pb1_10,39.7895,1,2,pb1_10,37.8802,1,2
pb2_1,0.0015768,1,2,pb2_1,0.0017035,1,2
pb2_2,0.0064154,1,2,pb2_2,0.0068765,1,2
pb2_3,0.0586951,1,2,pb2_3,0.0564322,1,2
pb2_4,0.0286972,1,2,pb2_4,0.0294423,1,2
pb2_5,0.0599675,1,2,pb2_5,0.0660875,1,2
pb2_6,0.0288609,1,2,pb2_6,0.0286108,1,2
pb2_7,0.0289859,1,2,pb2_7,0.0292838,1,2
pb2_8,0.003275156,0.75,1,pb2_8,-1,-1,-1
pb2_9,0.0121698,1,2,pb2_9,0.0124726,1,2
pb2_10,0.0288488,1,2,pb2_10,0.0290442,1,2
pb3_1,0.0158039,1,2,pb3_1,0.0152004,1,2
pb3_2,0.087007,1,2,pb3_2,0.0874151,1,2
pb3_3,1.95165,1,2,pb3_3,1.83372,1,2
pb3_4,0.247751,1,2,pb3_4,0.153464,1,2
pb3_5,0.601269,1,2,pb3_5,0.615638,1,2
pb3_6,12.6547,1,2,pb3_6,14.0686,1,2
pb3_7,0.006712675,1,1,pb3_7,14.1638,1,2
pb3_8,0.003470659,0.8,1,pb3_8,-1,-1,-1
pb3_9,0.604173,1,2,pb3_9,0.679967,1,2
pb3_10,8.33552,1,2,pb3_10,8.48403,1,2
pb4_1,0.0044049,1,2,pb4_1,0.0044606,1,2
pb4_2,0.0098552,1,2,pb4_2,0.0101253,1,2
pb4_3,0.0667309,1,2,pb4_3,0.0680145,1,2
pb4_4,0.017934,1,2,pb4_4,0.0184834,1,2
pb4_5,0.121257,1,2,pb4_5,0.0742427,1,2
pb4_6,0.0177911,1,2,pb4_6,0.0182821,1,2
pb4_7,0.007134438,1,1,pb4_7,0.0178269,1,2
pb4_8,0.003580809,0.75,1,pb4_8,-1,-1,-1
pb4_9,0.00356698,1,1,pb4_9,0.0023937,1,2
pb4_10,0.0102591,1,2,pb4_10,0.0117645,1,2
pb5_1,0.003673315,1,1,pb5_1,0.0094056,1,2
pb5_2,0.0627754,1,2,pb5_2,0.0618536,1,2
pb5_3,7.32299,1,2,pb5_3,6.98021,1,2
pb5_4,1.98756,1,2,pb5_4,1.60155,1,2
pb5_5,0.313832,1,2,pb5_5,0.310113,1,2
pb5_6,33.6398,1,2,pb5_6,33.5473,1,2
pb5_7,0.00760746,1,1,pb5_7,33.4481,1,2
pb5_8,0.003814936,0.8,1,pb5_8,35.6594,1,2
pb5_9,6.79657,1,2,pb5_9,6.80843,1,2
pb5_10,33.4486,1,2,pb5_10,33.42,1,2
pb6_1,0.004191637,1,1,pb6_1,0.0124526,1,2
pb6_2,0.065024,1,2,pb6_2,0.0648255,1,2
pb6_3,0.987453,1,2,pb6_3,0.996762,1,2
pb6_4,0.220137,1,2,pb6_4,0.221212,1,2
pb6_5,0.224836,1,2,pb6_5,0.226538,1,2
pb6_6,4.72961,1,2,pb6_6,4.76564,1,2
pb6_7,0.007600784,1,1,pb6_7,4.73338,1,2
pb6_8,0.004000425,0.8,1,pb6_8,5.09309,1,2
pb6_9,0.957154,1,2,pb6_9,1.08128,1,2
pb6_10,4.73517,1,2,pb6_10,4.73232,1,2
pb7_1,0.0080484,1,2,pb7_1,0.0082156,1,2
pb7_2,0.101947,1,2,pb7_2,0.0987806,1,2
pb7_3,72.5917,1,2,pb7_3,72.3428,1,2
pb7_4,8.19956,1,2,pb7_4,8.0282,1,2
pb7_5,8.73228,1,2,pb7_5,8.7764,1,2
pb7_6,0.004194975,0.75,1,pb7_6,-1,-1,-1
pb7_7,0.005532503,0.6,1,pb7_7,-1,-1,-1
pb7_8,0.004477501,0.8,1,pb7_8,-1,-1,-1
